artist_id,artist_name,location,total_plays,top_song_name,top_song_plays,last_updated
AR6QQY41187B990574,Danny Wilson,"Dundee, Scotland",2,Never Gonna Be The Same,1,2025-11-24 16:46:14
AR6TZJQ1187B9AD572,Pierre Boulez,"Montbrison, France",4,"Messiaen : Et exspecto resurrectionem mortuorum : IV ""Ils ressusciteront_ glorieux_ avec un nom nouveau",2,2025-11-24 16:54:58
AR6UVLC1187B9B4D4C,Suzi Quatro,"Detroit, MI",4,Too Big,3,2025-11-24 16:54:58
AR6XPWV1187B9ADAEB,Foo Fighters,"Seattle, WA",2,Overdrive,1,2025-11-24 16:46:14
AR6Y8JF1187B9BA1D5,Jimmy Witherspoon,"Gurdon, AR",2,I'm Going Around In Circles,1,2025-11-24 16:43:32
AR6YDKV1187B989230,Roberto Torres,,2,Decima Del Tiempo De Antes,1,2025-11-24 16:46:14
AR71A931187B99CDD9,Harry Gregson-Williams,,2,The Ball,1,2025-11-24 16:46:14
AR71WYS1187FB5170D,Kelly Sweet,,2,We Are One,2,2025-11-24 16:46:14
AR74Q3R1187B9B24C3,Nightwish,"Kitee, Finland",4,Kuolema Tekee Taiteilijan,2,2025-11-24 16:54:58
AR76YOD1187FB46B24,Joshua Rifkin,"New York, NY",1,Fig Leaf Rag  (LP Version),1,2025-11-24 16:02:50
AR77B521187FB4CC70,Lennie Tristano,US,4,It's Personal,2,2025-11-24 16:54:58
AR77FBJ1187FB49D8D,The Rance Allen Group,"Detroit, MI",4,Put Your Hand In The Hand,3,2025-11-24 16:54:58
AR78ZID1187B9B31ED,Mikey Dread,Jamaica,8,Rainbow Jungle (Dub / Instrumental Reggae Music),4,2025-11-24 16:54:58
AR7AE0Q1187B9AE30E,Solas,,4,Bonnie Mae,2,2025-11-24 16:54:58
AR7AOEJ1187FB3D279,Little Milton,"Inverness, MS",3,My Way,3,2025-11-24 16:43:32
AR7AYQG1187B994B3F,Defari,,1,Xtra Thump (Featuring Tash from Tha Alkaholiks),1,2025-11-24 16:02:50
AR7BMMV1187FB5B2D7,Robben Ford,"Ukiah, CA",4,Something For The Pain,2,2025-11-24 16:54:58
AR7C6G11187B9B4C1E,Jennifer Lopez,"The Bronx, New York",5,Still,2,2025-11-24 16:54:58
AR7CCCC1187FB578FF,Don Gibson,"Shelby, North Carolina",6,Evening Prayer,3,2025-11-24 16:54:58
AR7CCS31187B98C531,Tom Barabas,,1,Shades Of Love,1,2025-11-24 16:02:50
AR7FN5Y1187B99B248,J.R. Writer_ Jha Jha,,1,What It Do,1,2025-11-24 16:02:50
AR7G5I41187FB4CE6C,Adam Ant,"London, England",2,Mohair Locker Room Pin-Up Boys,1,2025-11-24 16:43:32
AR7GOK91187FB455F5,Jean-Jacques Goldman,"Paris, France",6,Comme Toi (Live),2,2025-11-24 16:46:14
AR7GUNF1187B990CCF,Between The Buried And Me,"Charlotte, NC",5,Prequel To The Sequel (Album Version),4,2025-11-24 16:54:58
AR7ISJJ1187B9B2CD6,Danny Barnes,Texas,3,Big Girl Blues,2,2025-11-24 16:54:58
AR7JPF81187B988D23,Charlie McCoy,"Jackson, MS",2,Columbus Stockade Blues,1,2025-11-24 16:02:50
AR7KA5V1187FB44E6B,The Del McCoury Band,,5,Gone But Not Forgotten,1,2025-11-24 16:54:58
AR7N7MI1187FB46935,Sade,"Ibadan, Nigeria",2,Slave Song,1,2025-11-24 16:46:14
AR7OCK81187B98D1F1,Debbie Davies,"Los Angeles, CA",2,Little Sister,1,2025-11-24 16:46:14
AR7OEB71187B995A17,Henri Pousseur,"Malm�, Belgium",3,Prospection,1,2025-11-24 16:46:14
